Gene,Description,A11.C636,A11,E9,HAP1.C597,KBM7
PUS10,pseudouridylate synthase 10,0.08,0.08,0.09,0.08,0.12
PUS3,pseudouridylate synthase 3,4.20,3.29,3.17,4.22,2.44
PUS7,pseudouridylate synthase 7 homolog (S. cerevisiae),1.23,1.01,1.05,1.29,0.93
PUS7L,pseudouridylate synthase 7 homolog (S. cerevisiae)-like,0.87,0.68,0.54,0.94,0.92
PUSL1,pseudouridylate synthase-like 1,6.90,7.25,7.41,6.61,2.53
PWP2,PWP2 periodic tryptophan protein homolog (yeast),4.16,4.07,4.37,4.14,2.56
QARS,glutaminyl-tRNA synthetase,25.96,25.27,24.51,26.83,36.64
QKI,"QKI, KH domain containing, RNA binding",0.86,0.81,0.62,0.88,0.25
QRSL1,glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1,0.80,0.56,0.56,0.75,0.57
QTRT1,queuine tRNA-ribosyltransferase 1,2.77,3.46,3.95,2.54,2.33
QTRTD1,queuine tRNA-ribosyltransferase domain containing 1,2.24,2.05,2.26,2.15,1.24
R3HCC1,R3H domain and coiled-coil containing 1,4.49,5.04,5.31,4.78,6.33
R3HCC1L,R3H domain and coiled-coil containing 1-like,0.31,0.23,0.21,0.30,0.21
R3HDM1,R3H domain containing 1,0.52,0.54,0.54,0.52,0.50
R3HDM2,R3H domain containing 2,0.28,0.35,0.34,0.28,0.45
RAE1,RAE1 RNA export 1 homolog (S. pombe),4.14,3.44,3.21,3.90,1.90
RALY,"RNA binding protein, autoantigenic (hnRNP-associated with lethal yellow homolog (mouse))",1.61,1.81,1.99,1.56,1.70
RALYL,RALY RNA binding protein-like,0.00,0.00,0.00,0.00,0.00
RAN,"RAN, member RAS oncogene family",182.04,131.40,129.46,175.39,80.59
RANBP17,RAN binding protein 17,0.01,0.01,0.01,0.01,0.01
RANBP2,RAN binding protein 2,3.88,2.92,2.51,3.82,2.43
RANBP6,RAN binding protein 6,10.84,7.45,7.02,11.43,15.27
RARS,arginyl-tRNA synthetase,4.55,3.54,3.53,4.33,2.31
RARS2,"arginyl-tRNA synthetase 2, mitochondrial",0.73,0.68,0.72,0.74,0.44
RAVER1,"ribonucleoprotein, PTB-binding 1",6.47,9.04,9.33,6.53,4.10
RAVER2,"ribonucleoprotein, PTB-binding 2",0.43,0.36,0.32,0.43,0.65
RBBP6,retinoblastoma binding protein 6,4.93,5.04,5.23,5.04,4.10
RBFOX1,"RNA binding protein, fox-1 homolog (C. elegans) 1",0.00,0.00,0.00,0.00,0.00
RBFOX2,"RNA binding protein, fox-1 homolog (C. elegans) 2",1.60,1.36,1.33,1.57,1.82
RBFOX3,"RNA binding protein, fox-1 homolog (C. elegans) 3",0.00,0.00,0.00,0.00,0.00
RBM10,RNA binding motif protein 10,4.14,5.37,5.70,4.24,2.68
RBM11,RNA binding motif protein 11,0.33,0.20,0.20,0.27,0.20
RBM12,RNA binding motif protein 12,15.80,14.06,14.10,15.98,10.36
RBM12B,RNA binding motif protein 12B,5.54,5.18,5.75,5.54,10.34
RBM14,RNA binding motif protein 14,12.67,11.78,12.05,12.15,6.51
RBM15,RNA binding motif protein 15,4.96,4.61,4.83,4.77,6.95
RBM15B,RNA binding motif protein 15B,14.61,16.57,16.86,14.69,11.33
RBM17,RNA binding motif protein 17,4.99,5.20,5.33,4.82,6.28
RBM18,RNA binding motif protein 18,2.04,1.51,1.24,2.05,1.12
RBM19,RNA binding motif protein 19,0.63,0.63,0.54,0.55,0.32
RBM20,RNA binding motif protein 20,0.00,0.00,0.01,0.00,0.01
RBM22,RNA binding motif protein 22,8.02,7.84,7.80,7.49,7.92
RBM23,RNA binding motif protein 23,5.08,5.28,5.37,4.96,3.09
RBM24,RNA binding motif protein 24,1.58,1.13,1.23,1.40,0.00
RBM25,RNA binding motif protein 25,4.37,4.59,4.67,4.30,3.89
RBM26,RNA binding motif protein 26,1.18,1.18,1.17,1.12,0.64
RBM27,RNA binding motif protein 27,0.94,0.76,0.78,0.88,0.61
RBM28,RNA binding motif protein 28,1.88,1.71,1.72,1.95,1.88
RBM3,"RNA binding motif (RNP1, RRM) protein 3",189.51,189.99,187.10,198.54,163.11
RBM33,RNA binding motif protein 33,0.22,0.23,0.19,0.24,0.20
RBM34,RNA binding motif protein 34,1.74,1.43,1.44,1.65,2.00
RBM38,RNA binding motif protein 38,0.79,1.40,1.44,0.80,0.61
RBM39,RNA binding motif protein 39,8.77,7.38,7.42,8.51,7.73
RBM4,RNA binding motif protein 4,20.14,19.89,20.09,19.38,10.99
RBM41,RNA binding motif protein 41,0.55,0.51,0.45,0.51,0.56
RBM42,RNA binding motif protein 42,7.36,8.40,9.24,7.39,4.76
RBM43,RNA binding motif protein 43,0.33,0.33,0.23,0.35,0.77
RBM44,RNA binding motif protein 44,0.02,0.01,0.01,0.02,0.01
RBM45,RNA binding motif protein 45,0.88,0.55,0.59,0.77,0.63
RBM46,RNA binding motif protein 46,0.00,0.00,0.00,0.00,0.00
RBM47,RNA binding motif protein 47,0.02,0.01,0.01,0.02,0.01
RBM48,RNA binding motif protein 48,1.11,1.02,0.98,1.14,1.33
RBM4B,RNA binding motif protein 4B,3.89,3.89,4.14,3.71,4.39
RBM5,RNA binding motif protein 5,4.30,4.75,5.12,4.04,4.92
RBM6,RNA binding motif protein 6,1.10,1.27,1.25,1.09,1.12
RBM7,RNA binding motif protein 7,3.34,2.20,2.05,2.94,2.77
RBM8A,RNA binding motif protein 8A,32.23,31.20,34.80,32.55,20.13
RBMS1,"RNA binding motif, single stranded interacting protein 1",0.22,0.18,0.20,0.21,0.11
RBMS2,"RNA binding motif, single stranded interacting protein 2",0.14,0.13,0.12,0.14,0.12
RBMS3,"RNA binding motif, single stranded interacting protein 3",0.00,0.00,0.00,0.00,0.00
RBMX,"RNA binding motif protein, X-linked",55.08,48.85,50.29,53.32,52.72
RBMX2,"RNA binding motif protein, X-linked 2",5.26,4.81,4.38,4.77,4.21
RBMXL1,"RNA binding motif protein, X-linked-like 1",8.36,5.86,4.24,7.80,4.69
RBMXL2,"RNA binding motif protein, X-linked-like 2",0.00,0.00,0.01,0.00,0.00
RBMY1F,"RNA binding motif protein, Y-linked, family 1, member F",0.00,0.00,0.00,0.00,0.00
RBMY1J,"RNA binding motif protein, Y-linked, family 1, member J",0.00,0.00,0.00,0.00,0.00
RBPMS,RNA binding protein with multiple splicing,0.20,0.22,0.28,0.21,0.15
RBPMS2,RNA binding protein with multiple splicing 2,0.58,0.59,0.69,0.95,0.41
RC3H1,ring finger and CCCH-type domains 1,0.30,0.27,0.24,0.29,0.25
RC3H2,ring finger and CCCH-type domains 2,0.74,0.58,0.40,0.74,0.39
RCL1,RNA terminal phosphate cyclase-like 1,2.05,2.07,1.30,2.12,0.67
RDM1,RAD52 motif 1,0.36,0.29,0.24,0.34,0.57
REPIN1,replication initiator 1,19.85,20.31,20.31,21.23,10.79
REXO1,"REX1, RNA exonuclease 1 homolog (S. cerevisiae)",1.00,1.50,1.58,1.05,0.94
REXO2,"REX2, RNA exonuclease 2 homolog (S. cerevisiae)",4.93,4.00,3.74,4.44,4.17
REXO4,"REX4, RNA exonuclease 4 homolog (S. cerevisiae)",7.30,7.97,7.95,7.16,3.87
RIOK1,RIO kinase 1,2.31,2.22,2.27,2.30,1.78
RIOK2,RIO kinase 2,2.36,1.68,1.76,2.24,1.30
RIOK3,RIO kinase 3,1.85,1.32,1.39,1.73,1.61
RNASE10,"ribonuclease, RNase A family, 10 (non-active)",0.00,0.00,0.00,0.00,0.00
RNASE11,"ribonuclease, RNase A family, 11 (non-active)",0.00,0.00,0.00,0.00,0.00
RNASE13,"ribonuclease, RNase A family, 13 (non-active)",0.01,0.01,0.00,0.00,0.00
RNASE2,"ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin)",0.00,0.00,0.00,0.02,0.05
RNASE4,"ribonuclease, RNase A family, 4",0.40,0.30,0.19,0.35,0.17
RNASE6,"ribonuclease, RNase A family, k6",0.00,0.00,0.00,0.00,0.03
RNASE7,"ribonuclease, RNase A family, 7",0.00,0.00,0.01,0.00,0.02
RNASEH1,ribonuclease H1,3.44,3.22,3.38,3.43,1.53
RNASEH2A,"ribonuclease H2, subunit A",10.08,10.12,10.76,9.15,5.84
RNASEH2B,"ribonuclease H2, subunit B",1.11,0.85,0.81,1.10,1.62
RNASEH2C,"ribonuclease H2, subunit C",20.27,20.88,21.25,19.79,16.42
RNASEK,"ribonuclease, RNase K",37.91,41.89,34.89,38.43,36.12
RNASEL,"ribonuclease L (2',5'-oligoisoadenylate synthetase-dependent)",0.56,0.42,0.26,0.54,0.60
RNASET2,ribonuclease T2,0.96,0.91,0.69,0.90,2.30
RNF113A,ring finger protein 113A,23.05,21.59,21.83,21.70,34.70
RNF17,ring finger protein 17,0.00,0.00,0.00,0.00,0.00
RNGTT,RNA guanylyltransferase and 5'-phosphatase,0.16,0.12,0.12,0.15,0.14
RNH1,ribonuclease/angiogenin inhibitor 1,6.93,8.96,9.31,7.22,4.83
RNMT,RNA (guanine-7-) methyltransferase,3.06,2.33,2.11,3.10,2.97
RNMTL1,RNA methyltransferase like 1,3.42,3.14,3.03,3.42,2.36
RNPC3,"RNA-binding region (RNP1, RRM) containing 3",0.81,0.92,0.89,0.74,2.01
RNPS1,"RNA binding protein S1, serine-rich domain",11.66,12.20,13.09,11.28,8.01
RP9,retinitis pigmentosa 9 (autosomal dominant),2.07,1.92,1.66,2.02,1.29
RPF1,ribosome production factor 1 homolog (S. cerevisiae),3.74,3.43,3.29,3.59,2.49
RPF2,ribosome production factor 2 homolog (S. cerevisiae),1.34,0.94,0.97,1.24,0.69
RPL10,ribosomal protein L10,386.29,292.21,292.63,381.53,766.88
RPL10A,ribosomal protein L10a,256.27,210.79,206.93,243.05,399.75
RPL10L,ribosomal protein L10-like,0.16,0.06,0.03,0.32,0.26
RPL11,ribosomal protein L11,214.49,272.95,281.23,216.12,339.57
RPL12,ribosomal protein L12,147.89,162.59,172.19,142.85,310.14
RPL13,ribosomal protein L13,123.66,129.42,132.65,117.05,218.59
RPL13A,ribosomal protein L13a,246.22,260.26,218.78,236.90,408.99
RPL14,ribosomal protein L14,130.98,116.44,114.42,126.47,178.79
RPL15,ribosomal protein L15,142.44,109.86,105.98,142.50,245.72
RPL17,ribosomal protein L17,163.16,138.01,140.44,152.99,233.84
RPL18,ribosomal protein L18,129.84,145.28,153.22,127.64,208.19
RPL18A,ribosomal protein L18a,104.04,120.64,129.67,103.84,158.11
RPL19,ribosomal protein L19,260.07,231.98,243.85,266.10,382.42
RPL21,ribosomal protein L21,28.66,22.66,22.35,27.37,40.46
RPL22,ribosomal protein L22,25.48,23.19,21.67,25.39,44.90
RPL22L1,ribosomal protein L22-like 1,26.21,16.63,9.96,22.00,8.23
RPL23,ribosomal protein L23,171.99,150.55,155.84,170.75,268.47
RPL23A,ribosomal protein L23a,13.09,8.40,8.95,13.15,13.26
RPL24,ribosomal protein L24,72.19,57.33,65.14,69.45,90.08
RPL26,ribosomal protein L26,128.19,139.81,133.87,126.85,219.95
RPL26L1,ribosomal protein L26-like 1,4.80,4.15,4.00,4.59,1.94
RPL27,ribosomal protein L27,118.52,90.65,99.19,115.92,140.06
RPL27A,ribosomal protein L27a,109.03,122.58,123.26,110.99,136.25
RPL28,ribosomal protein L28,9.91,11.41,11.14,9.53,16.98
RPL29,ribosomal protein L29,184.17,173.70,182.81,179.55,275.48
RPL3,ribosomal protein L3,7.07,7.77,7.55,5.89,2.65
RPL30,ribosomal protein L30,163.81,148.83,162.91,166.45,538.37
RPL31,ribosomal protein L31,6.11,4.35,4.40,5.55,5.94
RPL32,ribosomal protein L32,101.38,91.73,93.20,99.03,157.88
RPL34,ribosomal protein L34,50.55,30.45,29.44,50.61,94.82
RPL35,ribosomal protein L35,89.15,112.67,122.85,88.75,105.91
RPL35A,ribosomal protein L35a,83.94,66.95,63.89,78.63,108.64
RPL36,ribosomal protein L36,197.36,248.95,274.19,197.76,295.09
RPL36A,ribosomal protein L36a,83.06,80.29,82.80,84.30,146.61
RPL36AL,ribosomal protein L36a-like,80.26,76.54,72.38,82.13,63.29
RPL37,ribosomal protein L37,10.56,11.75,11.30,9.78,13.75
RPL37A,ribosomal protein L37a,269.03,188.29,187.87,261.75,390.14
RPL38,ribosomal protein L38,43.70,38.87,42.00,43.55,59.19
RPL39,ribosomal protein L39,83.82,43.45,43.32,83.57,158.65
RPL39L,ribosomal protein L39-like,4.06,3.17,3.06,3.90,6.02
RPL3L,ribosomal protein L3-like,0.01,0.01,0.01,0.00,0.01
RPL4,ribosomal protein L4,214.59,201.61,204.01,426.98,706.14
RPL41,ribosomal protein L41,424.34,512.70,544.62,437.83,565.06
RPL5,ribosomal protein L5,82.69,67.75,65.87,80.02,141.14
RPL6,ribosomal protein L6,218.64,190.04,203.00,209.31,306.42
RPL7,ribosomal protein L7,6.77,6.61,7.17,6.54,18.36
RPL7A,ribosomal protein L7a,28.84,31.28,31.96,26.98,36.09
RPL7L1,ribosomal protein L7-like 1,24.20,20.08,20.33,24.57,15.25
RPL8,ribosomal protein L8,417.27,452.05,520.18,424.82,686.65
RPL9,ribosomal protein L9,65.68,39.62,40.29,63.86,118.13
RPLP0,"ribosomal protein, large, P0",341.94,326.04,328.03,364.69,600.76
RPLP1,"ribosomal protein, large, P1",181.98,215.71,238.06,377.39,645.32
RPLP2,"ribosomal protein, large, P2",130.23,106.31,114.91,135.37,153.78
RPP14,ribonuclease P/MRP 14kDa subunit,3.86,3.22,3.01,3.54,2.20
RPP21,ribonuclease P/MRP 21kDa subunit,12.34,16.79,16.11,12.56,7.70
RPP25,ribonuclease P/MRP 25kDa subunit,7.95,7.83,6.20,12.62,11.61
RPP25L,ribonuclease P/MRP 25kDa subunit-like,14.15,12.26,14.61,13.95,10.40
RPP30,ribonuclease P/MRP 30kDa subunit,1.81,1.31,1.11,1.69,0.81
RPP38,ribonuclease P/MRP 38kDa subunit,3.99,3.20,2.84,3.98,2.38
RPP40,ribonuclease P/MRP 40kDa subunit,1.41,1.03,1.25,1.29,1.38
RPS10,ribosomal protein S10,37.97,30.80,34.64,37.28,48.14
RPS11,ribosomal protein S11,271.45,281.10,306.59,274.72,435.07
RPS12,ribosomal protein S12,213.15,148.42,145.82,209.49,377.44
RPS13,ribosomal protein S13,142.77,93.66,94.52,138.58,195.93
RPS14,ribosomal protein S14,106.57,81.17,89.26,109.52,199.12
RPS15,ribosomal protein S15,139.33,155.63,162.89,130.77,161.49
RPS15A,ribosomal protein S15a,55.78,43.18,43.35,54.53,97.25
RPS16,ribosomal protein S16,248.35,239.02,272.40,235.95,305.46
RPS17,ribosomal protein S17,60.55,77.92,85.76,118.86,164.47
RPS17L,ribosomal protein S17-like,127.18,138.33,148.92,253.07,347.27
RPS18,ribosomal protein S18,224.22,173.14,184.83,225.64,419.87
RPS19,ribosomal protein S19,69.05,62.53,69.75,68.23,86.47
RPS19BP1,ribosomal protein S19 binding protein 1,18.59,16.73,17.51,17.81,7.44
RPS2,ribosomal protein S2,410.19,513.00,565.38,401.95,540.17
RPS20,ribosomal protein S20,323.31,274.25,272.78,308.05,1178.33
RPS21,ribosomal protein S21,222.77,158.41,178.03,213.50,307.29
RPS23,ribosomal protein S23,118.43,80.08,86.12,117.62,184.80
RPS24,ribosomal protein S24,102.16,111.32,118.31,105.72,198.34
RPS25,ribosomal protein S25,160.78,164.17,170.87,156.08,279.58
RPS26,ribosomal protein S26,53.95,49.76,55.07,51.92,60.10
RPS27,ribosomal protein S27,224.58,197.70,205.98,229.73,427.36
RPS27A,ribosomal protein S27a,206.06,133.41,148.22,204.83,312.91
RPS27L,ribosomal protein S27-like,6.24,7.11,7.21,11.22,23.32
RPS28,ribosomal protein S28,110.52,101.23,103.13,108.45,141.15
RPS29,ribosomal protein S29,94.82,77.53,78.27,88.72,155.25
RPS3,ribosomal protein S3,179.88,172.80,169.26,176.54,375.76
RPS3A,ribosomal protein S3A,54.67,36.16,37.75,53.96,101.86
RPS4X,"ribosomal protein S4, X-linked",338.28,319.68,320.59,339.50,590.95
RPS4Y1,"ribosomal protein S4, Y-linked 1",0.01,0.00,0.00,0.01,7.50
RPS5,ribosomal protein S5,80.17,60.06,67.01,75.71,94.83
RPS6,ribosomal protein S6,364.66,342.76,364.14,357.71,739.89
RPS7,ribosomal protein S7,89.12,81.71,87.23,80.99,106.75
RPS8,ribosomal protein S8,327.67,241.07,239.37,316.78,568.14
RPS9,ribosomal protein S9,79.25,77.29,75.80,78.14,103.64
RPSA,ribosomal protein SA,6.25,6.36,5.70,5.37,3.40
RPUSD1,RNA pseudouridylate synthase domain containing 1,18.15,22.70,22.60,17.17,6.98
RPUSD2,RNA pseudouridylate synthase domain containing 2,5.53,5.22,5.04,5.80,3.75
RPUSD3,RNA pseudouridylate synthase domain containing 3,7.22,7.84,10.05,7.75,8.41
RPUSD4,RNA pseudouridylate synthase domain containing 4,7.18,6.62,5.79,6.88,7.07
RQCD1,RCD1 required for cell differentiation1 homolog (S. pombe),4.93,3.88,3.53,4.88,2.72
RRBP1,ribosome binding protein 1 homolog 180kDa (dog),1.87,2.19,2.67,1.92,1.26
RRNAD1,ribosomal RNA adenine dimethylase domain containing 1,2.88,3.13,2.94,2.65,2.86
RRP1,ribosomal RNA processing 1 homolog (S. cerevisiae),5.57,5.52,6.03,5.52,3.25
RRP12,ribosomal RNA processing 12 homolog (S. cerevisiae),2.21,2.25,2.57,2.07,1.29
RRP15,ribosomal RNA processing 15 homolog (S. cerevisiae),1.47,1.21,1.32,1.30,0.48
RRP1B,ribosomal RNA processing 1 homolog B (S. cerevisiae),7.11,6.71,6.15,7.15,4.13
RRP36,ribosomal RNA processing 36 homolog (S. cerevisiae),11.96,10.86,10.67,11.88,2.60
RRP7A,ribosomal RNA processing 7 homolog A (S. cerevisiae),8.72,8.43,9.05,8.53,4.54
RRP8,"ribosomal RNA processing 8, methyltransferase, homolog (yeast)",3.71,3.60,3.61,3.57,2.89
RRP9,"ribosomal RNA processing 9, small subunit (SSU) processome component, homolog (yeast)",10.23,10.91,13.01,10.11,4.85
RRS1,RRS1 ribosome biogenesis regulator homolog (S. cerevisiae),29.75,35.11,39.20,28.39,36.65
RSL1D1,ribosomal L1 domain containing 1,23.80,22.14,22.42,23.74,24.72
RSL24D1,ribosomal L24 domain containing 1,8.89,4.54,4.35,8.25,12.88
RSRC1,arginine/serine-rich coiled-coil 1,0.09,0.08,0.07,0.08,0.11
RTCA,RNA 3'-terminal phosphate cyclase,1.56,1.30,1.31,1.48,1.27
RTCB,chromosome 22 open reading frame 28,6.00,4.64,4.76,5.75,3.81
RTF1,"Rtf1, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)",2.10,1.92,1.85,2.18,1.87
RUVBL1,RuvB-like 1 (E. coli),5.82,5.22,5.55,5.74,1.84
RUVBL2,RuvB-like 2 (E. coli),7.00,7.95,9.03,6.99,5.22
SAFB,scaffold attachment factor B,4.96,5.75,5.91,5.07,3.33
SAFB2,scaffold attachment factor B2,2.06,2.53,2.61,2.02,1.37
SAMD4A,sterile alpha motif domain containing 4A,0.10,0.09,0.12,0.10,0.05
SAMD4B,sterile alpha motif domain containing 4B,2.63,3.12,2.98,2.65,1.47
SAMHD1,SAM domain and HD domain 1,1.95,1.40,1.03,1.86,0.22
SAP18,"Sin3A-associated protein, 18kDa",23.83,19.75,17.26,23.17,10.26
SARNP,SAP domain containing ribonucleoprotein,1.61,1.30,1.23,1.66,1.02
SARS,seryl-tRNA synthetase,11.40,9.05,9.93,11.19,6.91
SARS2,"Serine--tRNA ligase, mitochondrial ",2.53,3.32,3.28,2.19,1.42
SART1,squamous cell carcinoma antigen recognized by T cells,4.72,6.19,6.82,4.78,3.30
SART3,squamous cell carcinoma antigen recognized by T cells 3,3.82,3.52,3.58,3.85,2.77
SBDS,Shwachman-Bodian-Diamond syndrome,11.62,9.55,9.73,11.77,4.71
SCAF1,SR-related CTD-associated factor 1,4.13,5.72,6.46,4.22,2.43
SCAF11,SR-related CTD-associated factor 11,1.65,1.41,1.33,1.61,1.85
SCAF4,SR-related CTD-associated factor 4,1.94,2.17,2.26,1.95,1.66
SCAF8,SR-related CTD-associated factor 8,1.01,0.95,1.02,1.03,0.65
SECISBP2,SECIS binding protein 2,1.67,1.67,1.66,1.65,2.28
SECISBP2L,SECIS binding protein 2-like,1.64,1.38,0.91,1.48,0.85
SEPSECS,Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase,0.39,0.26,0.27,0.37,0.43
SERBP1,SERPINE1 mRNA binding protein 1,23.08,23.47,23.29,22.48,13.22
SETD1A,SET domain containing 1A,2.38,3.46,3.84,2.38,1.57
SETD1B,SET domain containing 1B,1.62,2.22,2.48,1.62,1.27
SETD7,SET domain containing (lysine methyltransferase) 7,2.76,2.06,1.95,2.74,1.21
SETX,senataxin,1.09,0.75,0.68,0.98,0.79
SF1,splicing factor 1,26.16,30.73,31.05,25.13,20.00
SF3A1,"splicing factor 3a, subunit 1, 120kDa",10.67,11.03,10.63,10.42,6.56
SF3A2,"splicing factor 3a, subunit 2, 66kDa",9.01,14.14,17.15,8.88,7.07
SF3A3,"splicing factor 3a, subunit 3, 60kDa",6.68,5.94,5.89,6.68,4.57
SF3B1,"splicing factor 3b, subunit 1, 155kDa",11.15,8.49,8.32,10.97,10.88
SF3B14,Pre-mRNA branch site protein p14 ,10.35,7.52,7.66,10.47,9.94
SF3B2,"splicing factor 3b, subunit 2, 145kDa",26.92,27.84,28.13,27.07,15.74
SF3B3,"splicing factor 3b, subunit 3, 130kDa",9.00,7.81,7.64,9.16,6.34
SF3B4,"splicing factor 3b, subunit 4, 49kDa",27.30,33.96,35.36,27.46,13.85
SF3B5,"splicing factor 3b, subunit 5, 10kDa",130.81,113.41,109.96,119.19,93.35
SFPQ,splicing factor proline/glutamine-rich,58.41,49.86,48.11,57.89,34.60
SFSWAP,"splicing factor, suppressor of white-apricot homolog (Drosophila)",0.82,1.00,1.10,0.83,0.74
SHQ1,"SHQ1, H/ACA ribonucleoprotein assembly factor",0.43,0.32,0.26,0.40,0.38
SIDT1,"SID1 transmembrane family, member 1",0.01,0.00,0.00,0.01,0.04
SIDT2,"SID1 transmembrane family, member 2",1.10,1.10,0.95,1.07,1.42
SKIV2L,superkiller viralicidic activity 2-like (S. cerevisiae),5.27,6.17,6.45,5.13,3.55
SKIV2L2,superkiller viralicidic activity 2-like 2 (S. cerevisiae),1.48,0.99,1.00,1.49,1.28
SLBP,stem-loop binding protein,9.66,6.37,5.86,9.34,5.23
SLC4A1AP,"solute carrier family 4 (anion exchanger), member 1, adaptor protein",2.01,1.87,1.78,1.95,1.30
SLIRP,SRA stem-loop interacting RNA binding protein,10.19,7.12,8.30,10.27,4.39
SLTM,"SAFB-like, transcription modulator",2.98,3.33,3.55,3.23,2.78
SLU7,SLU7 splicing factor homolog (S. cerevisiae),2.67,2.61,2.68,2.67,3.23
SMAD1,SMAD family member 1,0.44,0.48,0.35,0.41,0.30
SMAD2,SMAD family member 2,0.66,0.53,0.48,0.63,0.70
SMAD3,SMAD family member 3,0.27,0.27,0.36,0.53,0.22
SMAD4,SMAD family member 4,1.43,1.24,1.17,1.47,1.11
SMAD5,SMAD family member 5,2.12,1.61,1.32,2.04,1.41
SMAD6,SMAD family member 6,0.13,0.16,0.14,0.20,0.13
SMAD7,MAD family member 7,0.39,0.50,0.32,0.41,0.02
SMAD9,SMAD family member 9,0.26,0.29,0.24,0.25,0.14
SMG1,"smg-1 homolog, phosphatidylinositol 3-kinase-related kinase (C. elegans)",1.41,1.21,1.13,1.36,1.13
SMG5,"smg-5 homolog, nonsense mediated mRNA decay factor (C. elegans)",7.67,8.04,7.42,7.65,3.90
SMG6,"smg-6 homolog, nonsense mediated mRNA decay factor (C. elegans)",0.26,0.30,0.30,0.28,0.16
SMG7,"smg-7 homolog, nonsense mediated mRNA decay factor (C. elegans)",1.95,2.18,2.16,1.92,1.27
SMG8,"smg-8 homolog, nonsense mediated mRNA decay factor (C. elegans)",8.75,7.02,6.97,9.27,6.96
SMG9,"smg-9 homolog, nonsense mediated mRNA decay factor (C. elegans)",2.48,3.03,2.85,2.34,1.59
SMN1,"survival of motor neuron 1, telomeric",3.36,2.89,2.79,3.47,2.62
SMN2,"survival of motor neuron 2, centromeric",2.30,1.69,1.71,2.31,1.68
SMNDC1,survival motor neuron domain containing 1,4.09,3.72,3.54,4.22,2.43
SND1,staphylococcal nuclease and tudor domain containing 1,0.74,0.63,0.66,0.74,0.92
SNIP1,Smad nuclear interacting protein 1,1.57,1.24,1.21,1.53,1.20
SNRNP200,small nuclear ribonucleoprotein 200kDa (U5),23.98,23.62,27.01,25.03,12.26
SNRNP25,small nuclear ribonucleoprotein 25kDa (U11/U12),18.18,12.90,13.26,18.21,8.57
SNRNP27,small nuclear ribonucleoprotein 27kDa (U4/U6.U5),2.84,2.67,2.96,2.73,2.10
SNRNP35,small nuclear ribonucleoprotein 35kDa (U11/U12),8.90,11.46,9.05,9.61,7.81
SNRNP40,small nuclear ribonucleoprotein 40kDa (U5),3.48,2.91,2.82,3.57,1.87
SNRNP48,small nuclear ribonucleoprotein 48kDa (U11/U12),1.99,1.49,1.50,1.87,2.12
SNRNP70,small nuclear ribonucleoprotein 70kDa (U1),12.20,14.89,15.31,12.17,8.08
SNRPA,small nuclear ribonucleoprotein polypeptide A,9.45,10.88,11.83,9.13,10.20
SNRPA1,small nuclear ribonucleoprotein polypeptide A',6.97,4.86,5.05,6.41,5.45
SNRPB,small nuclear ribonucleoprotein polypeptides B and B1,31.41,27.73,29.10,31.05,23.81
SNRPB2,small nuclear ribonucleoprotein polypeptide B,9.13,7.55,7.64,8.32,5.40
SNRPC,small nuclear ribonucleoprotein polypeptide C,9.82,9.86,11.62,10.25,5.85
SNRPD1,small nuclear ribonucleoprotein D1 polypeptide 16kDa,8.88,7.86,7.67,8.79,7.08
SNRPD2,small nuclear ribonucleoprotein D2 polypeptide 16.5kDa,55.93,49.49,54.55,56.25,43.65
SNRPD3,small nuclear ribonucleoprotein D3 polypeptide 18kDa,11.84,12.60,13.68,12.18,6.98
SNRPE,small nuclear ribonucleoprotein polypeptide E,4.84,2.73,2.74,4.89,3.70
SNRPF,small nuclear ribonucleoprotein polypeptide F,14.21,12.29,12.86,14.61,10.03
SNRPG,small nuclear ribonucleoprotein polypeptide G,4.11,2.85,2.77,3.62,1.88
SNRPN,small nuclear ribonucleoprotein polypeptide N,0.00,0.00,0.00,0.00,0.00
SNUPN,snurportin 1,0.93,0.76,0.77,1.79,1.42
SNW1,SNW domain containing 1,3.49,2.98,3.02,3.49,2.75
SON,SON DNA binding protein,14.15,12.44,12.96,14.31,10.26
SPATS2,"spermatogenesis associated, serine-rich 2",0.33,0.26,0.25,0.32,0.26
SPATS2L,"spermatogenesis associated, serine-rich 2-like",0.22,0.19,0.15,0.24,0.20
SPEN,"spen homolog, transcriptional regulator (Drosophila)",1.70,1.87,1.69,1.61,1.76
SRA1,steroid receptor RNA activator 1,3.48,3.25,3.49,3.15,1.87
SRBD1,S1 RNA binding domain 1,0.23,0.22,0.18,0.23,0.14
SREK1,splicing regulatory glutamine/lysine-rich protein 1,2.48,2.61,2.48,2.46,2.32
SRFBP1,serum response factor binding protein 1,0.35,0.27,0.26,0.36,0.25
SRP14,signal recognition particle 14kDa (homologous Alu RNA binding protein),79.89,80.33,74.29,79.08,42.47
SRP19,signal recognition particle 19kDa,9.02,8.13,7.87,8.20,3.45
SRP54,signal recognition particle 54kDa,2.60,2.05,1.98,2.45,1.90
SRP68,signal recognition particle 68kDa,4.92,4.06,4.05,4.99,3.38
SRP72,signal recognition particle 72kDa,6.05,4.76,4.60,5.88,6.63
